date,# repo creted
20131123,150
20131124,150
20131125,157
20131126,184
20131127,158
20131128,133
20131129,126
20131130,120
20131201,106
20131202,141
20131203,137
20131204,130
20131205,129
20131206,124
20131207,100
20131208,100
20131209,109
20131210,135
20131211,125
20131212,95
20131213,105
20131214,90
20131215,90
20131216,93
20131217,111
20131218,90
20131219,273
20131220,80
20131221,77
20131222,80
20131223,84
20131224,80
20131225,54
20131226,80
20131227,81
20131228,91
20131229,80
20131230,70
20131231,70
20140101,69
20140102,70
20140103,70
20140104,70
20140105,70
20140106,71
20140107,86
20140108,102
20140109,79
20140110,81
20140111,60
20140112,60
20140113,68
20140114,90
20140115,91
20140116,90
20140117,90
20140118,60
20140119,79
20140120,75
20140121,75
20140122,75
20140123,75
20140124,75
20140125,75
20140126,75
20140127,75
20140128,76
20140129,75
20140130,75
20140131,75
20140201,48
20140202,60
20140203,60
20140204,60
20140205,60
20140206,60
20140207,60
20140208,60
20140209,47
20140210,60
20140211,60
20140212,60
20140213,60
20140214,60
20140215,57
20140216,40
20140217,60
20140218,67
20140219,55
20140220,60
20140221,105
20140222,45
20140223,32
20140224,45
20140225,45
20140226,45
20140227,45
20140228,45
20140301,33
20140302,45
20140303,45
20140304,60
20140305,45
20140306,45
20140307,45
20140308,39
20140309,45
20140310,45
20140311,45
20140312,47
20140313,45
20140314,45
20140315,45
20140316,30
20140317,45
20140318,60
20140319,60
20140320,45
20140321,45
20140322,45
20140323,45
20140324,33
20140325,40
20140326,30
20140327,30
20140328,30
20140329,22
20140330,30
20140331,30
20140401,30
20140402,30
20140403,30
20140404,30
20140405,30
20140406,20
20140407,40
20140408,30
20140409,30
20140410,30
20140411,30
20140412,30
20140413,20
20140414,30
20140415,30
20140416,30
20140417,30
20140418,30
20140419,27
20140420,20
20140421,30
20140422,30
20140423,30
20140424,30
20140425,30
20140426,30
20140427,30
20140428,30
20140429,30
20140430,30
20140501,30
20140502,20
20140503,28
20140504,30
20140505,30
20140506,40
20140507,38
20140508,30
20140509,30
20140510,30
20140511,30
20140512,40
20140513,40
20140514,40
20140515,40
20140516,30
20140517,30
20140518,22
20140519,30
20140520,30
20140521,40
20140522,30
20140523,29
20140524,20
20140525,30
20140526,30
20140527,30
20140528,36
20140529,28
20140530,15
20140531,10
20140601,10
20140602,15
20140603,15
20140604,20
20140605,15
20140606,15
20140607,10
20140608,10
20140609,15
20140610,15
20140611,15
20140612,15
20140613,15
20140614,15
20140615,10
20140616,15
20140617,15
20140618,15
20140619,15
20140620,15
20140621,14
20140622,10
20140623,15
20140624,15
20140625,15
20140626,17
20140627,15
20140628,10
20140629,14
20140630,15
20140701,15
20140702,20
20140703,15
20140704,15
20140705,10
20140706,10
20140707,20
20140708,15
20140709,16
20140710,15
20140711,15
20140712,12
20140713,15
20140714,15
20140715,15
20150101,199
20150102,286
20150103,258
20150104,268
20150105,347
20150106,323
20150107,454
20150108,405
20150109,350
20150110,312
20150111,328
20150112,421
20150113,375
20150114,361
20150115,381
20150116,397
20150117,420
20150118,323
20150119,448
20150120,483
20150121,491
20150122,550
20150123,395
20150124,309
20150125,356
20150126,384
20150127,416
20150128,432
20150129,428
20150130,413
20150131,335
20150201,360
20150202,455
20150203,482
20150204,423
20150205,409
20150206,426
20150207,330
20150208,340
20150209,420
20150210,432
20150211,477
20150212,406
20150213,361
20150214,290
20150215,332
20150216,404
20150217,356
20150218,353
20150219,385
20150220,399
20150221,356
20150222,329
20150223,419
20150224,419
20150225,524
20150226,438
20150227,437
20150228,351
20150301,343
20150302,469
20150303,458
20150304,442
20150305,440
20150306,435
20150307,363
20150308,397
20150309,834
20150310,505
20150311,481
20150312,533
20150313,713
20150314,619
20150315,736
20150316,743
20150317,818
20150318,647
20150319,604
20150320,745
20150321,477
20150322,465
20150323,639
20150324,779
20150325,625
20150326,731
20150327,538
20150328,465
20150329,400
20150330,521
20150331,636
20150401,608
20150402,632
